,x,y
0,0,733
1,0,732
2,3,739
3,9,742
4,10,743
5,42,737
6,45,736
7,47,731
8,61,706
9,66,715
10,71,715
11,72,714
12,73,692
13,79,699
14,89,703
15,95,702
16,96,701
17,104,699
18,105,714
19,120,691
20,125,695
21,131,696
22,133,695
23,133,721
24,134,719
25,135,723
26,137,723
27,140,721
28,141,703
29,142,657
30,143,660
31,145,658
32,149,656
33,151,659
34,152,662
35,153,664
36,156,671
37,156,670
38,160,721
39,161,715
40,161,714
41,161,711
42,162,714
43,162,675
44,164,708
45,165,667
46,166,690
47,167,709
48,170,701
49,172,686
50,173,697
51,174,697
52,175,681
53,176,700
54,176,679
55,185,682
56,187,703
57,195,690
58,196,694
59,202,695
60,210,718
61,211,722
62,213,724
63,228,712
64,241,715
65,241,714
