z_pc,Profile_0,Profile_1,Profile_2,Profile_3,Profile_4,Profile_5,Profile_6,Profile_7,Profile_8,Profile_9,Profile_10,Profile_11,Profile_12,Profile_13,Profile_14,Profile_15,Profile_16,Profile_17,Profile_18,Profile_19,Profile_20,Profile_21,Profile_22,Profile_23,Profile_24,Profile_25,Profile_26,Profile_27,Profile_28,Profile_29,Profile_30,Profile_31,Profile_32,Profile_33,Profile_34,Profile_35,Profile_36,Profile_37,Profile_38,Profile_39,Profile_40,Profile_41,Profile_42,Profile_43,Profile_44,Profile_45,Profile_46,Profile_47,Profile_48,Profile_49,Profile_50,Profile_51,Profile_52,Profile_53,Profile_54,Profile_55,Profile_56,Profile_57,Profile_58,Profile_59,Profile_60,Profile_61,Profile_62,Profile_63,Profile_64,Profile_65
-10.0,,10181.789374234431,10342.721420923446,10302.984264126815,10370.686917933017,9759.048762450375,9695.75877168975,9728.528033088238,10110.865925513634,34273.940557520094,21323.752936347046,973727.0689453507,9791.756807995716,10500.85919971943,10451.107208224983,10494.871234322363,10498.238301329213,9340.226538414583,696602.2470970711,14009.229072173363,9440.117638394135,9491.9697265625,10326.175804932247,805120.6895616037,12391.043474810414,330009.0,926009.5116102104,740745.0096785297,41138.65306710031,9388.689208093787,10041.827164223927,10297.987049875741,10474.415503119964,490746.0869665879,13574.116969808256,9979.026305993495,112032.19863800274,24595.961474561183,509702.1119550315,10245.112125913329,10208.2900390625,10198.7939453125,10129.80043203884,493518.36686956673,9259.332999527407,79231.82291703732,604126.6026276171,972508.6389281271,9403.218287687301,65039.60546875,590041.4446885318,9787.482687768468,9985.879416503805,28785.136188166533,10444.66656471849,10921.408361412434,39222.929404670685,38089.93154515696,55117.19692948331,9332.534534331415,9779.328829337992,10128.661216366352,809890.1131281618,9939.918793663788,10393.083439999271,925457.625
-9.591836734693878,,10225.268275732511,10354.44233244579,10315.002205514498,10363.336434366509,9770.148773102912,9727.328885600375,9723.197287899537,10031.88258693643,24292.693183042094,25390.06778779705,965239.6948024614,9784.413096005173,10504.920438368443,10650.336131167336,10498.172709135608,10498.363340369346,9357.821921144983,710312.9717053702,22793.12855585431,9460.539425292325,9507.320890465562,10376.469569909535,728065.3683698162,16183.480234072027,393191.3673469263,897917.672095296,646638.5271406351,72313.09627737204,9411.503471921584,9979.426254778547,10129.730811228896,10422.46311651303,431400.03762382333,17656.818627976634,10222.326664359645,113259.75717573805,27199.018398996886,354764.0831713849,10189.25339596534,10158.764369419645,10995.016442123764,10151.60161984401,527623.4628646837,9253.632374776105,68082.7507807557,585430.7821122048,971660.2225433057,9365.205591314863,70323.80604272832,585394.2428645093,9992.458876648943,10158.145010285401,81072.21848953537,10164.747895941777,11099.666617088586,20650.98700683472,32889.31723744905,23221.612379118385,9344.826390440652,9803.583504033373,10181.642886111706,860467.5640112261,9916.63277862161,10334.055150148059,941627.9311224486
-9.183673469387756,,10268.747177230589,10365.531237829451,10327.796335020994,10358.724544872191,9781.248783755447,9772.64428024053,9724.506420927744,9956.627719000599,16213.885541916647,24977.730718094448,960973.5375768256,9777.003065233257,10506.59772627539,10691.768717247964,10717.492290521055,10499.615664590166,9387.351024899452,724023.6963136616,32864.70328818432,9475.401693763928,9522.672054368624,10538.152468541359,643507.2995030101,21142.365286124008,422265.8329081646,861338.2304721656,552532.0446027289,114465.1732553116,9390.484694969853,9921.719386664847,10109.48308222714,10342.847518818513,302452.29200686247,28687.246214945215,10558.565257099699,114487.31571347389,30674.274181885263,185385.01945929092,10140.834341710983,10109.238699776788,11791.23893893503,10211.997603108624,578758.9179146462,9271.035900716477,56222.728058035165,571818.9440926616,968914.1454939609,9342.42416768947,75608.00661670923,553031.7712107898,10229.747735953768,10322.67128190799,221184.46185167605,9884.829227165066,11350.745256720518,19436.348904085193,27863.070443435245,20561.969548491405,9360.866688624392,9836.722395530223,10238.444610040457,869926.0077023223,9912.39314535421,10266.146719556658,957798.2372448973
-8.775510204081632,,10299.04403497099,10369.952040275606,10350.25790415895,10357.240110176852,9828.274670876894,9842.85843152755,9728.695299604216,9940.74353841953,13327.404399287792,32817.74006523768,927672.5583883072,9767.42440183599,10504.271117376433,10869.093979661882,11222.02145260894,10501.25844060838,9416.766914640802,718270.8740242808,42936.27802051562,9486.336071107207,9527.317203443878,11280.405448708932,540121.0227223396,28317.073790768438,349016.59311224445,817917.7480067406,471426.43498952116,200707.6339274498,9412.88349598445,9865.638368785289,10128.993861466857,10368.16143975635,207013.3140041348,29183.808709559307,10894.803849839624,110525.96244811914,33645.8050347801,114893.9699980066,10136.549383835365,10120.265425701531,13485.404177295615,10416.205100146137,635793.0882295546,9288.439426656862,48396.120131174044,565868.0187172493,966094.9062050772,9412.144985931038,80892.20719068756,522781.97468014306,10897.791796631062,10962.200756478214,411355.2842172086,9679.079933582188,11588.855375392106,18944.114322432994,22836.823649421105,17902.32671786339,9381.648872254971,9872.938466145537,10287.789220594635,905522.5184710926,9904.738389241245,10265.917898402873,969150.0943877553
-8.36734693877551,,10310.641141992688,10365.964995946293,10372.7194732969,10359.864116680254,9882.903240402373,9914.458902372195,9738.354175654636,9928.596718681993,13042.405288414862,33498.07264752662,917871.4393935043,9751.874229802921,10512.490547453493,11839.094679797096,11732.217316583688,10582.08286258551,9460.172589546522,684907.5019766528,131456.60294612104,9484.367769108036,9523.202885841838,11513.865922953937,416729.60213779676,69070.04953671696,292346.9786352061,765375.4650909053,395251.1458621061,298518.0332215232,9488.726247409717,9874.10986946914,10184.192400003138,10332.56812807379,159109.11989348248,28695.027562126463,11129.64245417933,99203.73563367409,36309.18719522652,89730.94668413352,10195.744943017444,10180.835020727041,15914.249840561046,10608.80173398244,667445.3397879794,9350.392873649109,42418.33819919848,564896.9982268425,951312.4982214664,9518.538430494507,80142.70583545958,469400.80032314564,12069.864616409817,11904.46020678498,672538.0805908,9578.545647063847,11625.9979578594,24283.495542175013,19057.90291523024,18405.472359207342,9402.997778262083,9909.465997569545,10326.55533787802,931543.6974778546,9898.150153661156,10281.461105689263,976559.5841836734
-7.959183673469388,,10322.238249014386,10361.980604019756,10389.656450607166,10366.538726476934,9956.599485635625,9986.059373216842,9753.05891497224,9913.05834920916,12703.435939856117,31598.318185039076,898389.6463300836,9733.815279031465,10412.638302760655,14744.695560456177,14605.800244080452,11079.363881483838,9525.830186169249,651544.1299290162,250601.3608823773,9479.68210203207,9517.346141581633,11652.591741039292,295008.1515722348,192456.91564163106,246223.52072703946,707006.6035078454,320124.45509953937,423641.2424633516,9569.685287642305,10051.741943290785,10297.955356481627,10293.831492355526,113276.00481839171,28180.815991654046,11358.989354280373,90833.22955222201,36709.51155261048,50394.147150768455,10331.184096182233,10254.491151147955,18919.219228316142,10887.690126250865,566054.4573592978,9470.728415635731,36580.27255464041,562219.2697956989,931747.3355118765,10047.69136953285,69537.32214604702,431100.15389315505,15292.325043823215,12649.705049975353,774695.1735865122,9478.011360545504,11685.470313332953,29750.71912488177,18348.568950616125,21239.67264046532,9423.429280996083,9947.626097535656,10346.529390828768,925997.4117553321,9902.667838619756,10290.251434542772,983536.4387755102
-7.551020408163265,,10331.354985141488,10358.374377130924,10390.241175896543,10381.676163580682,10030.4477246616,10069.785739877314,9796.711870685773,9999.609527719193,12718.045545103907,29903.043685843666,850681.4584557671,9720.413119504747,10336.354659494737,18330.546188107037,16855.429778839523,11237.778417368034,9591.283182639723,696558.4473138577,363349.1602842418,9470.44038774856,9495.807557397959,11806.270730280816,205720.87937622351,315843.7817465429,176029.75478316104,636517.3955772613,248417.65921592218,536669.2551474208,9669.221909510008,10219.381687406452,10411.718312960116,10285.633953885372,85861.97576713256,28076.86327080639,11681.02233505332,74529.86205957328,36580.49127766088,36510.20171092123,10503.494481765,10445.926100127555,27109.302136479826,11986.292192419367,600985.4371054617,9591.06395762237,34451.18926657955,568309.6369889863,912380.821511267,10706.793547086736,57887.36391900477,440609.6616449291,24583.732453434575,13394.949893165729,741378.4530844013,9335.882903218004,11786.000048044836,28810.395862795503,17639.234985999577,24073.872921723814,9436.574831407097,9991.741507715215,10357.184783530378,800038.5855060404,9920.921784970918,10345.178218734116,986619.5765306123
-7.142857142857142,,10339.273560691272,10356.866321427324,10390.825901185919,10396.774988267038,10091.37833751774,10160.478750981916,9839.453658416489,10128.484625038403,13235.657270920061,28556.99434387242,835317.7512419459,9714.267583484223,10285.400596454045,19212.749244662067,19813.22066896926,11656.151177756487,9643.9039729482,779433.6579320426,477624.3285301758,9452.137961201384,9474.268973214284,12595.63418751743,120758.49124494911,439230.64785146154,133459.32031250204,516837.0533640021,184103.4952042429,667519.2025043187,9761.506075201494,10373.479500763922,10578.730988716075,10268.854119046782,66642.52015134475,25138.313115980975,11862.275788696075,66259.90888794439,37373.241749138775,29870.050182631137,10674.318154203353,10637.361049107145,35299.38504464351,13130.99578168044,561689.5797160979,9834.482313032579,32032.093005365317,577147.5924220146,876624.4914817372,14494.883967946043,45978.26395089404,471984.5566235824,36468.56138117686,14223.723170641017,696591.2664311907,9286.390710173342,11499.223647560972,25899.83909740793,16929.901021384838,27009.283656714146,9449.833666533737,10039.828621006971,10369.716497089546,642884.065681389,9979.821523011495,10402.15396324512,989702.7142857143
-6.73469387755102,,10347.192136241056,10355.84444011362,10383.03852716164,10395.106050080569,10185.471295063455,10251.171762086518,9882.233857996327,10291.067191348673,13053.705982814961,23000.55985003618,821005.5420315433,9710.657444071534,10352.766901823585,33023.827761007444,24168.785849493688,12301.924123849069,9679.174778820769,862308.868550236,553343.2928640977,9431.465539708159,9457.660833864793,13841.391121188,80163.52205215495,558079.5171085309,96022.15066964235,412398.3949574741,139891.49580415047,736041.7504033033,9851.807919526287,10518.779277059568,11010.970746950094,10210.446072371555,47423.064535557205,20994.629710246525,12137.320632020504,62026.11096934852,36501.02201593223,28210.40310782232,11815.04279421569,11449.175243144124,46973.03061224667,16397.034442136664,415015.8356014678,10216.178388365173,31371.20520633962,591253.1603051703,864929.6379180887,40568.45834388611,39556.663823341696,519668.4650551665,137906.75987442452,15468.536255086545,651804.079777983,9272.258953074157,11234.578083860639,22989.282332020888,16482.847752484013,36678.53288403316,9464.447329582252,10090.162632842294,10382.248210648715,472773.9423989516,10076.791543125128,11185.568504292649,990629.3112244898
-6.326530612244898,,10358.570674590672,10356.796317805762,10370.639881148734,10389.610053738426,10266.103183904306,10334.860163661559,9973.732743097244,10450.653536934347,20265.1207325454,16905.40003194702,796786.8305828103,9730.177638706607,10378.674128247334,47531.71237113603,28524.351030015867,12947.697069941432,9716.187579946505,778558.4582228576,612343.2372359744,9431.570112363634,9443.70754942602,14643.114814008452,52248.96173863859,663596.9102222522,68260.37404336504,304907.3996481942,93760.05280334599,800808.6253788616,9947.099276506378,10664.07905335519,11443.210505184257,10156.902643269492,52605.97828020981,16482.329257671816,12170.217323133487,56965.85050426463,34904.78600529001,27656.22138592691,13162.7648691873,12595.039799904305,60522.4406887742,20772.4505602267,265565.75844378653,10835.771897961164,31772.204843453244,607959.8778624333,863996.9154785436,57478.58892056326,32924.597337372856,602559.8118699959,252412.91576272115,16713.34933953207,497663.5448390719,9403.191266210692,11316.284211023478,20771.49791052801,16091.770746178834,68611.97999144309,9468.75552081794,10140.4966446776,10390.497351376875,333670.90751300287,10173.54686304264,12100.14710314109,990394.693877551
