z_pc,Profile_3,Profile_4,Profile_5,Profile_6,Profile_7,Profile_14,Profile_15,Profile_16,Profile_17,Profile_40,Profile_42,Profile_60,Profile_61
-10.0,10302.984264126815,10370.686917933015,9759.048762450377,9695.75877168975,9728.528033088238,10451.107208224985,10494.871234322363,10498.238301329213,9340.226538414585,10208.2900390625,10129.80043203884,9779.328829337992,10128.661216366352
-9.591836734693878,10315.002205514498,10363.336434366507,9770.148773102912,9727.328885600376,9723.197287899537,10650.336131167336,10498.172709135608,10498.363340369346,9357.821921144983,10158.764369419643,10151.60161984401,9803.583504033371,10181.642886111706
-9.183673469387756,10327.796335020994,10358.724544872191,9781.248783755447,9772.64428024053,9724.506420927744,10691.768717247964,10717.492290521055,10499.615664590166,9387.351024899452,10109.238699776788,10211.997603108624,9836.722395530223,10238.444610040457
-8.775510204081632,10350.25790415895,10357.240110176852,9828.274670876894,9842.85843152755,9728.695299604216,10869.093979661882,11222.02145260894,10501.25844060838,9416.766914640802,10120.265425701533,10416.205100146137,9872.938466145535,10287.789220594635
-8.36734693877551,10372.7194732969,10359.864116680254,9882.903240402373,9914.458902372196,9738.354175654636,11839.094679797096,11732.217316583688,10582.08286258551,9460.172589546522,10180.83502072704,10608.80173398244,9909.465997569543,10326.55533787802
-7.959183673469388,10389.656450607166,10366.538726476934,9956.599485635625,9986.059373216842,9753.05891497224,14744.695560456175,14605.800244080452,11079.363881483838,9525.830186169247,10254.491151147957,10887.690126250864,9947.626097535656,10346.529390828768
-7.551020408163265,10390.241175896545,10381.676163580682,10030.4477246616,10069.785739877314,9796.711870685773,18330.54618810704,16855.429778839523,11237.778417368034,9591.283182639723,10445.926100127555,11986.292192419369,9991.741507715216,10357.184783530378
-7.142857142857142,10390.82590118592,10396.774988267038,10091.37833751774,10160.478750981916,9839.453658416489,19212.749244662067,19813.22066896926,11656.151177756488,9643.9039729482,10637.361049107143,13130.99578168044,10039.828621006973,10369.716497089546
-6.73469387755102,10383.03852716164,10395.106050080569,10185.471295063457,10251.171762086518,9882.233857996329,33023.827761007444,24168.785849493688,12301.924123849069,9679.174778820769,11449.175243144124,16397.034442136664,10090.162632842294,10382.248210648717
-6.326530612244898,10370.639881148734,10389.610053738426,10266.103183904306,10334.86016366156,9973.732743097244,47531.71237113603,28524.351030015867,12947.697069941432,9716.187579946503,12595.039799904303,20772.4505602267,10140.4966446776,10390.497351376876
-5.918367346938775,10362.0261392891,10490.73530241897,10330.185552194707,10380.052940409698,10078.438367534516,57915.50283528466,26764.15450985357,13213.4727888439,9755.3389158214,14387.296097736076,27955.208928612527,10193.706309306664,10398.10238873328
-5.5102040816326525,10377.266861531918,10775.461396864222,10377.11975172007,10406.109643658168,10205.007458452132,74466.99455785155,23625.20866844931,13435.710134478692,9796.829012144064,18765.119359853343,45694.33083439715,10246.57913992054,10402.553798355118
-5.1020408163265305,10400.815751527589,10948.274876786936,10424.053951245436,10414.314773135604,10327.16071076868,94398.1049594596,20842.111936649504,12943.71015038066,9843.623087756368,23142.942621970607,63206.10916440867,10287.902540487295,10404.78338840426
-4.6938775510204085,10422.341819530382,11024.825652246556,10420.078835717157,10419.766700659758,10421.698244532185,74954.18529373282,17777.00977859237,12360.718313483005,9966.665335692867,37550.41262755047,109308.01392506904,10323.705517437982,10404.683920456922
-4.285714285714286,10431.39650519413,11566.348285746884,10415.724069431966,10349.479210461644,10479.76694623162,53984.27770704903,13886.172902932594,11535.346323587692,10145.33622760058,55301.09821428607,172676.93119245116,10380.12862801403,10393.955471368885
-3.8775510204081622,10436.6594752819,12032.139622857594,10352.944499631149,10271.710314696462,10521.08650608682,24641.70530607147,10875.4667546107,10645.784006630947,10383.230917233885,86591.65529336744,219257.63401241123,10405.821698877551,10370.584247161123
-3.4693877551020407,10448.554991011782,12329.909264549317,10230.339630426555,10220.42697153763,10565.887535873731,19724.91485638837,10715.276904496492,10754.076890801356,10898.285084119983,149475.24585459076,227362.19227426127,10425.22543863386,10344.908701245911
-3.0612244897959187,10477.089982407337,12131.42407533763,10101.844466017592,10306.773230925402,10704.061522265158,16517.81538339389,10760.276255422596,10964.399584930148,11889.83690786317,212358.83641581848,235439.4564580268,10445.672954030022,10332.998881991234
-2.653061224489796,10505.621125765516,12162.291133520506,10358.847633993522,11148.929378260324,11290.3359562575,15542.1256759253,11246.06130379787,11484.800473606092,12881.388731606505,228249.602359694,216562.3933250763,10469.29260182602,10327.039005017394
